"Dec_time","Dec_ZT_time","Condition","mean","SEM"
93,1053,"1 Male",0.404761904761905,0.167163685662661
94,1054,"1 Male",0.547619047619048,0.239051505907478
95,1055,"1 Male",0.642857142857143,0.209588470647534
96,1056,"1 Male",0.523809523809524,0.181099029762257
97,1057,"1 Male",0.880952380952381,0.413481270057079
98,1058,"1 Male",0.452380952380952,0.18729190838329
99,1059,"1 Male",0.30952380952381,0.168645954247253
100,1060,"1 Male",0.19047619047619,0.0978164345303084
101,1061,"1 Male",0.30952380952381,0.161612429943695
102,1062,"1 Male",0.261904761904762,0.160065041257184
103,1063,"1 Male",0.285714285714286,0.171370489579902
104,1064,"1 Male",0.333333333333333,0.151134565827935
105,1065,"1 Male",0.30952380952381,0.17205492747898
106,1066,"1 Male",0.523809523809524,0.221488196485629
107,1067,"1 Male",0.285714285714286,0.133242046068615
108,1068,"1 Male",0.380952380952381,0.144397426117753
109,1069,"1 Male",0.523809523809524,0.202304077768204
110,1070,"1 Male",0.571428571428571,0.207699799957229
111,1071,"1 Male",0.595238095238095,0.207466672552775
112,1072,"1 Male",0.333333333333333,0.125988157669742
113,1073,"1 Male",0.738095238095238,0.248244764684791
114,1074,"1 Male",0.595238095238095,0.183714176735159
115,1075,"1 Male",0.619047619047619,0.220737810828508
116,1076,"1 Male",0.928571428571429,0.410931998046413
117,1077,"1 Male",0.666666666666667,0.251976315339485
118,1078,"1 Male",0.452380952380952,0.177746837913825
119,1079,"1 Male",0.357142857142857,0.131202906805728
120,1080,"1 Male",0.619047619047619,0.204344170492774
121,1081,"1 Male",0.642857142857143,0.22816092638571
122,1082,"1 Male",0.595238095238095,0.215700581310324
123,1083,"1 Male",0.642857142857143,0.415748947870647
124,1084,"1 Male",0.880952380952381,0.649490447063995
125,1085,"1 Male",0.333333333333333,0.154929329611371
126,1086,"1 Male",0.428571428571429,0.187107256944941
127,1087,"1 Male",0.357142857142857,0.147851153183173
128,1088,"1 Male",0.452380952380952,0.171087866363172
129,1089,"1 Male",0.380952380952381,0.15222843703163
130,1090,"1 Male",0.30952380952381,0.134121199709415
131,1091,"1 Male",0.333333333333333,0.147242034766462
132,1092,"1 Male",0.69047619047619,0.237309971016594
133,1093,"1 Male",0.333333333333333,0.121291284465066
134,1094,"1 Male",0.523809523809524,0.226671351419004
135,1095,"1 Male",0.666666666666667,0.265444353127065
136,1096,"1 Male",0.476190476190476,0.174567975898129
137,1097,"1 Male",0.761904761904762,0.302543464610527
138,1098,"1 Male",0.380952380952381,0.148364607825662
139,1099,"1 Male",0.428571428571429,0.16036709174521
140,1100,"1 Male",0.428571428571429,0.167452932152523
141,1101,"1 Male",0.261904761904762,0.113335675709502
142,1102,"1 Male",0.261904761904762,0.123157848958929
143,1103,"1 Male",0.285714285714286,0.119453431441125
144,1104,"1 Male",0.30952380952381,0.134121199709415
145,1105,"1 Male",0.333333333333333,0.147242034766462
146,1106,"1 Male",0.333333333333333,0.143243766413543
147,1107,"1 Male",0.19047619047619,0.0916875928269015
148,1108,"1 Male",0.785714285714286,0.426388167154178
149,1109,"1 Male",0.428571428571429,0.187107256944941
150,1110,"1 Male",0.333333333333333,0.227766682448859
151,1111,"1 Male",0.285714285714286,0.124219815121783
152,1112,"1 Male",0.119047619047619,0.0848745809175188
153,1113,"1 Male",0.214285714285714,0.125383102989787
154,1114,"1 Male",0.238095238095238,0.143821753023959
155,1115,"1 Male",0.142857142857143,0.0804417866244961
156,1116,"1 Male",0.261904761904762,0.123157848958929
157,1117,"1 Male",0.214285714285714,0.0995676733995299
158,1118,"1 Male",0.238095238095238,0.11204737989829
159,1119,"1 Male",0.30952380952381,0.200139600634834
160,1120,"1 Male",0.166666666666667,0.107320152702797
161,1121,"1 Male",0.0952380952380952,0.0747393753458591
162,1122,"1 Male",0.119047619047619,0.0848745809175188
