"","Dec_time","Dec_ZT_time","Condition","binned_mean","binned_sem"
"3661",780,300,"5 Male",0.1085714286,0
"3691",810,330,"5 Male",0.1771428571,0
"3721",840,360,"5 Male",0.2047619048,0
"3751",870,390,"5 Male",0.2333333333,0
"3781",900,420,"5 Male",0.2819047619,0
"3811",930,450,"5 Male",0.1847619048,0
"3841",960,480,"5 Male",0.2019047619,0
"3871",990,510,"5 Male",0.2619047619,0
"3901",1020,540,"5 Male",0.6514285714,0
"3931",1050,570,"5 Male",0.4752380952,0
"3961",1080,600,"5 Male",0.559047619,0
"3991",1110,630,"5 Male",0.6238095238,0
"4021",1140,660,"5 Male",0.9857142857,0
"4051",1170,690,"5 Male",1.4838095238,0
"4081",1200,720,"5 Male",1.7771428571,0
"4111",1230,750,"5 Male",0.7019047619,0
"4141",1260,780,"5 Male",0.3533333333,0
"4171",1290,810,"5 Male",0.1847619048,0
"4201",1320,840,"5 Male",0.2123809524,0
"4231",1350,870,"5 Male",0.1123809524,0
"4261",1380,900,"5 Male",0.0666666667,0
"4291",1410,930,"5 Male",0.0542857143,0
"4321",0,960,"4 Male",0.2291666667,0
"4351",30,990,"4 Male",0.1975,0
"4381",60,1020,"4 Male",0.3008333333,0
"4411",90,1050,"4 Male",0.2075,0
"4441",120,1080,"4 Male",0.3075,0
"4471",150,1110,"4 Male",0.2575,0
"4501",180,1140,"4 Male",0.2208333333,0
"4531",210,1170,"4 Male",0.4241666667,0
"4561",240,1200,"4 Male",0.11,0
"4591",270,1230,"4 Male",0.1625,0
"4621",300,1260,"4 Male",0.1925,0
"4651",330,1290,"4 Male",0.21,0
"4681",360,1320,"4 Male",0.3691666667,0
"4711",390,1350,"4 Male",0.4858333333,0
"4741",420,1380,"4 Male",0.5091666667,0
"4771",450,1410,"4 Male",0.635,0
"4801",480,0,"4 Male",1.045,0
"4831",510,30,"4 Male",0.9075,0
"4861",540,60,"4 Male",0.5441666667,0
"4891",570,90,"4 Male",0.46,0
"4921",600,120,"4 Male",0.3,0
"4951",630,150,"4 Male",0.4075,0
