"Dec_time","Dec_ZT_time","Condition","mean","SEM"
81,1041,"1 Male",0.0208333333333333,0.0208333333333333
82,1042,"1 Male",0.0416666666666667,0.029147663515556
83,1043,"1 Male",0.1875,0.110030016858715
84,1044,"1 Male",0.166666666666667,0.120332478730193
85,1045,"1 Male",0.208333333333333,0.0939590852055904
86,1046,"1 Male",0.25,0.124555948863003
87,1047,"1 Male",0.375,0.175202517064726
88,1048,"1 Male",0.270833333333333,0.156817821679226
89,1049,"1 Male",0.291666666666667,0.14573831757778
90,1050,"1 Male",0.3125,0.136950869950292
91,1051,"1 Male",0.5625,0.303505304497559
92,1052,"1 Male",0.354166666666667,0.153243835660195
93,1053,"1 Male",0.395833333333333,0.178000078027449
94,1054,"1 Male",0.125,0.0766369816104119
95,1055,"1 Male",0.25,0.117222586355075
96,1056,"1 Male",0.354166666666667,0.153243835660195
97,1057,"1 Male",0.270833333333333,0.132286169400498
98,1058,"1 Male",0.1875,0.087601258532363
99,1059,"1 Male",0.270833333333333,0.114311007786573
100,1060,"1 Male",0.333333333333333,0.152791209381635
101,1061,"1 Male",0.25,0.100970468261729
102,1062,"1 Male",0.3125,0.166195033039776
103,1063,"1 Male",0.229166666666667,0.112355436405341
104,1064,"1 Male",0.3125,0.136950869950292
105,1065,"1 Male",0.270833333333333,0.141983115484702
106,1066,"1 Male",0.208333333333333,0.0839955954040527
107,1067,"1 Male",0.270833333333333,0.114311007786573
108,1068,"1 Male",0.354166666666667,0.172305968923639
109,1069,"1 Male",0.25,0.144337567297406
110,1070,"1 Male",0.1875,0.087601258532363
111,1071,"1 Male",0.604166666666667,0.353226746100513
112,1072,"1 Male",0.520833333333333,0.222791731079392
113,1073,"1 Male",0.666666666666667,0.484999573493025
114,1074,"1 Male",0.333333333333333,0.198248834732548
115,1075,"1 Male",0.229166666666667,0.127160699041074
116,1076,"1 Male",0.4375,0.216570320913807
117,1077,"1 Male",0.416666666666667,0.192578006054886
118,1078,"1 Male",0.333333333333333,0.146874449850587
119,1079,"1 Male",0.25,0.124555948863003
120,1080,"1 Male",0.333333333333333,0.143824821210449
121,1081,"1 Male",0.5625,0.183316206485634
122,1082,"1 Male",0.270833333333333,0.114311007786573
123,1083,"1 Male",0.3125,0.11591545127364
124,1084,"1 Male",0.229166666666667,0.108338447778891
125,1085,"1 Male",0.333333333333333,0.186735043201157
126,1086,"1 Male",0.375,0.243032335939185
127,1087,"1 Male",0.291666666666667,0.154593763388071
128,1088,"1 Male",0.416666666666667,0.148375760925631
129,1089,"1 Male",0.229166666666667,0.137220325931328
130,1090,"1 Male",0.333333333333333,0.137522832834506
131,1091,"1 Male",0.416666666666667,0.197127720175184
132,1092,"1 Male",0.520833333333333,0.21261122106765
133,1093,"1 Male",0.520833333333333,0.267953869172901
134,1094,"1 Male",0.645833333333333,0.296984823222646
135,1095,"1 Male",0.5,0.19973386548424
136,1096,"1 Male",0.375,0.201116123260819
137,1097,"1 Male",0.291666666666667,0.14573831757778
138,1098,"1 Male",0.270833333333333,0.178000078027449
139,1099,"1 Male",0.333333333333333,0.155665277075517
140,1100,"1 Male",0.229166666666667,0.12362571964571
141,1101,"1 Male",0.25,0.144337567297406
142,1102,"1 Male",0.291666666666667,0.188212790143291
143,1103,"1 Male",0.1875,0.121516167969592
144,1104,"1 Male",0.229166666666667,0.143535596609656
145,1105,"1 Male",0.0833333333333333,0.0833333333333333
146,1106,"1 Male",0.166666666666667,0.120332478730193
147,1107,"1 Male",0.229166666666667,0.12362571964571
148,1108,"1 Male",0.25,0.113378172189703
149,1109,"1 Male",0.458333333333333,0.291666666666667
150,1110,"1 Male",0.354166666666667,0.12802919427337
151,1111,"1 Male",0.458333333333333,0.2104502378247
152,1112,"1 Male",0.458333333333333,0.190553349999987
153,1113,"1 Male",0.3125,0.179034670163539
154,1114,"1 Male",0.395833333333333,0.159619403641639
155,1115,"1 Male",0.479166666666667,0.232526943709385
156,1116,"1 Male",0.270833333333333,0.125405665618692
157,1117,"1 Male",0.229166666666667,0.119986639819709
158,1118,"1 Male",0.375,0.207622902165311
159,1119,"1 Male",0.4375,0.192745767401165
160,1120,"1 Male",0.375,0.159300888414489
161,1121,"1 Male",0.458333333333333,0.28082694081156
162,1122,"1 Male",0.520833333333333,0.249093361924967
163,1123,"1 Male",0.208333333333333,0.0891166924317569
164,1124,"1 Male",0.208333333333333,0.0891166924317569
165,1125,"1 Male",0.270833333333333,0.135595558324571
166,1126,"1 Male",0.291666666666667,0.157434927831095
167,1127,"1 Male",0.333333333333333,0.146874449850587
168,1128,"1 Male",0.395833333333333,0.180473135398244
169,1129,"1 Male",0.291666666666667,0.142664404767646
170,1130,"1 Male",0.166666666666667,0.095711840966424
171,1131,"1 Male",0.166666666666667,0.112724690250017
172,1132,"1 Male",0.291666666666667,0.133017133932519
173,1133,"1 Male",0.375,0.14775206854344
174,1134,"1 Male",0.166666666666667,0.0619807031664842
175,1135,"1 Male",0.604166666666667,0.267539987289852
176,1136,"1 Male",1.22916666666667,0.578301179947034
177,1137,"1 Male",0.541666666666667,0.252572462275212
178,1138,"1 Male",0.4375,0.175912640512837
179,1139,"1 Male",0.333333333333333,0.200472255675214
180,1140,"1 Male",0.291666666666667,0.133017133932519
181,1141,"1 Male",0.208333333333333,0.126176496520674
182,1142,"1 Male",0.0625,0.0461865819758285
183,1143,"1 Male",0.104166666666667,0.074374360557078
184,1144,"1 Male",0.25,0.131480926535194
185,1145,"1 Male",0.229166666666667,0.104166666666667
186,1146,"1 Male",0.229166666666667,0.143535596609656
187,1147,"1 Male",0.125,0.0923731639516571
